Gene,MutSig(Q-value),# Mut,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
NF1,,1,1,95,1.10%,Yes
XPO1,,1,1,94,1.10%,Yes
UPF1,,1,1,41,2.40%,Yes
GBA,,1,1,8,12.50%,No
DDR2,,1,1,94,1.10%,Yes
KEAP1,,1,1,88,1.10%,Yes
PRKDC,,1,1,27,3.70%,Yes
TLR4,,1,1,15,6.70%,No
TSHR,,1,1,79,1.30%,Yes
TEK,,1,1,41,2.40%,Yes
EXO1,,2,2,8,25.00%,No
TERT,,4,4,91,4.40%,Yes
SPEN,,1,1,69,1.40%,Yes
CDKN2C,,1,1,91,1.10%,Yes
PRKN,,1,1,88,1.10%,Yes
CDKN2A,,3,3,126,2.40%,Yes
DNMT3A,,5,4,92,4.30%,Yes
CDKN1B,,1,1,93,1.10%,Yes
DNMT1,,2,2,64,3.10%,Yes
APC,,3,2,122,1.60%,Yes
CREBBP,,1,1,95,1.10%,Yes
FOXA1,,1,1,76,1.30%,Yes
CYLD,,2,2,69,2.90%,Yes
MTOR,,1,1,94,1.10%,Yes
ARID2,,2,2,91,2.20%,Yes
TNFAIP3,,1,1,91,1.10%,Yes
RINT1,,1,1,8,12.50%,No
BCL6,,1,1,92,1.10%,Yes
PALB2,,1,1,95,1.10%,Yes
PTP4A1,,1,1,41,2.40%,Yes
KRAS,,1,1,126,0.80%,Yes
SETD2,,2,2,94,2.10%,Yes
SYK,,1,1,84,1.20%,Yes
ESR1,,1,1,95,1.10%,Yes
DIS3,,1,1,89,1.10%,Yes
COL2A1,,2,2,4,50.00%,Yes
BTK,,1,1,75,1.30%,Yes
PTPRT,,1,1,70,1.40%,Yes
EGFR,,2,1,126,0.80%,Yes
LIFR,,1,1,6,16.70%,Yes
ABRAXAS1,,1,1,72,1.40%,Yes
PPP2R1A,,1,1,82,1.20%,Yes
AURKB,,1,1,92,1.10%,Yes
TP53,,26,25,126,19.80%,Yes
PMS1,,1,1,90,1.10%,Yes
NCOR1,,1,1,69,1.40%,Yes
FGFR2,,1,1,126,0.80%,Yes
FGFR3,,1,1,126,0.80%,Yes
MAP3K13,,1,1,65,1.50%,Yes
CEBPA,,1,1,88,1.10%,Yes
KMT2D,,2,2,91,2.20%,Yes
GNAS,,1,1,125,0.80%,Yes
CBFB,,1,1,76,1.30%,Yes
RTEL1,,1,1,41,2.40%,Yes
RAD21,,2,2,85,2.40%,Yes
MED12,,1,1,80,1.30%,Yes
VHL,,1,1,123,0.80%,Yes
RASA2,,1,1,4,25.00%,No
DUSP4,,1,1,45,2.20%,Yes
RB1,,2,2,126,1.60%,Yes
