Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
BRCA2		4	4	90	4.4%	Yes
CTNNB1		5	4	90	4.4%	Yes
ERCC2		1	1	82	1.2%	Yes
DROSHA		1	1	43	2.3%	Yes
NF1		17	11	90	12.2%	Yes
XPO1		1	1	85	1.2%	Yes
EED		1	1	69	1.4%	Yes
HIST1H3F		1	1	51	2.0%	Yes
GRIN2A		2	2	69	2.9%	Yes
RET		1	1	90	1.1%	Yes
PRKDC		1	1	25	4.0%	Yes
TEK		1	1	43	2.3%	Yes
NFE2L2		1	1	90	1.1%	Yes
TERT		3	3	82	3.7%	Yes
PAX5		2	2	85	2.4%	Yes
SPEN		2	2	69	2.9%	Yes
IL6ST		1	1	1	100.0%	Yes
ASXL2		1	1	63	1.6%	Yes
LRP1B		1	1	9	11.1%	Yes
ETV1		1	1	76	1.3%	Yes
LEF1		1	1	9	11.1%	Yes
CDK8		2	2	79	2.5%	Yes
CYLD		1	1	66	1.5%	Yes
MTOR		1	1	90	1.1%	Yes
TET1		1	1	67	1.5%	Yes
ARID2		1	1	85	1.2%	Yes
AKT1		1	1	90	1.1%	Yes
MYOD1		1	1	60	1.7%	Yes
TSC2		1	1	90	1.1%	Yes
BCL6		2	2	85	2.4%	Yes
NUF2		1	1	43	2.3%	Yes
KRAS		3	3	90	3.3%	Yes
SETD2		1	1	85	1.2%	Yes
NFKBIA		1	1	76	1.3%	Yes
FGF19		1	1	69	1.4%	Yes
HIST1H3J		1	1	51	2.0%	Yes
BIRC3		1	1	54	1.9%	Yes
GNA11		1	1	90	1.1%	Yes
SMO		2	2	90	2.2%	Yes
BTK		2	2	66	3.0%	Yes
FGF3		1	1	69	1.4%	Yes
IL7R		1	1	79	1.3%	Yes
PTPRT		1	1	63	1.6%	Yes
EGFR		1	1	90	1.1%	Yes
AURKB		1	1	85	1.2%	Yes
KDM5C		1	1	85	1.2%	Yes
WWTR1		1	1	43	2.3%	Yes
TP53		19	16	90	17.8%	Yes
RAF1		1	1	85	1.2%	Yes
PMS1		1	1	79	1.3%	Yes
NCOR1		1	1	66	1.5%	Yes
FGFR4		14	12	90	13.3%	Yes
FGFR2		2	2	90	2.2%	Yes
BRD4		2	2	85	2.4%	Yes
COL7A1		2	2	10	20.0%	No
FGFR3		1	1	90	1.1%	Yes
PRDM14		1	1	43	2.3%	Yes
BARD1		1	1	79	1.3%	Yes
RBM10		1	1	73	1.4%	Yes
KMT2D		3	2	82	2.4%	Yes
GNAS		1	1	90	1.1%	Yes
KDM5A		1	1	78	1.3%	Yes
RUNX1		1	1	85	1.2%	Yes
FANCM		1	1	13	7.7%	No
CBFB		1	1	78	1.3%	Yes
RAD21		1	1	77	1.3%	Yes
CBL		2	2	85	2.4%	Yes
MSH2		1	1	85	1.2%	Yes
PTPRS		1	1	57	1.8%	Yes
POLQ		1	1	16	6.3%	Yes
